red_izo,KODOK,NAZKR,NAZOK
600007502,3207,Středočeský,Mladá Boleslav
600007413,3207,Středočeský,Mladá Boleslav
600170179,3207,Středočeský,Mladá Boleslav
600007529,3207,Středočeský,Mladá Boleslav
610451049,3207,Středočeský,Mladá Boleslav
600007464,3207,Středočeský,Mladá Boleslav
600007472,3207,Středočeský,Mladá Boleslav
650075277,3207,Středočeský,Mladá Boleslav
600007499,3207,Středočeský,Mladá Boleslav
600007481,3207,Středočeský,Mladá Boleslav
600007448,3207,Středočeský,Mladá Boleslav
600019543,3207,Středočeský,Mladá Boleslav
600007545,3207,Středočeský,Mladá Boleslav
600007421,3207,Středočeský,Mladá Boleslav
651018048,3207,Středočeský,Mladá Boleslav
610450956,3208,Středočeský,Nymburk
600007669,3208,Středočeský,Nymburk
600007651,3208,Středočeský,Nymburk
691002673,3208,Středočeský,Nymburk
600007642,3208,Středočeský,Nymburk
600007634,3208,Středočeský,Nymburk
600170195,3208,Středočeský,Nymburk
600007618,3208,Středočeský,Nymburk
600019551,3208,Středočeský,Nymburk
600007570,3208,Středočeský,Nymburk
600007553,3208,Středočeský,Nymburk
600007561,3208,Středočeský,Nymburk
600007685,3208,Středočeský,Nymburk
600007600,3208,Středočeský,Nymburk
600007774,3209,Středočeský,Praha-východ
600007731,3209,Středočeský,Praha-východ
600170209,3209,Středočeský,Praha-východ
600007693,3209,Středočeský,Praha-východ
600007782,3209,Středočeský,Praha-východ
600171761,3209,Středočeský,Praha-východ
600021696,3209,Středočeský,Praha-východ
600007707,3209,Středočeský,Praha-východ
610451219,3209,Středočeský,Praha-východ
600007766,3209,Středočeský,Praha-východ
650068955,3209,Středočeský,Praha-východ
691003921,3209,Středočeský,Praha-východ
600022064,3209,Středočeský,Praha-východ
691004498,3210,Středočeský,Praha-západ
691002339,3210,Středočeský,Praha-západ
600007804,3210,Středočeský,Praha-západ
651024617,3210,Středočeský,Praha-západ
600007791,3210,Středočeský,Praha-západ
600170217,3210,Středočeský,Praha-západ
600007871,3211,Středočeský,Příbram
600007812,3211,Středočeský,Příbram
600007910,3211,Středočeský,Příbram
600007821,3211,Středočeský,Příbram
610451251,3211,Středočeský,Příbram
600007839,3211,Středočeský,Příbram
600019560,3211,Středočeský,Příbram
600170225,3211,Středočeský,Příbram
600007847,3211,Středočeský,Příbram
600170233,3211,Středočeský,Příbram
600007928,3211,Středočeský,Příbram
600007855,3211,Středočeský,Příbram
600007898,3211,Středočeský,Příbram
600007901,3211,Středočeský,Příbram
600007880,3211,Středočeský,Příbram
600027970,3211,Středočeský,Příbram
600170268,3212,Středočeský,Rakovník
600171469,3212,Středočeský,Rakovník
600007979,3212,Středočeský,Rakovník
600007961,3212,Středočeský,Rakovník
600007944,3212,Středočeský,Rakovník
600007952,3212,Středočeský,Rakovník
600170250,3212,Středočeský,Rakovník
600007987,3212,Středočeský,Rakovník
600022188,3212,Středočeský,Rakovník
600170241,3212,Středočeský,Rakovník
600007936,3212,Středočeský,Rakovník
600020231,3301,Jihočeský,České Budějovice
600008088,3301,Jihočeský,České Budějovice
600008100,3301,Jihočeský,České Budějovice
600008096,3301,Jihočeský,České Budějovice
600008266,3301,Jihočeský,České Budějovice
600008151,3301,Jihočeský,České Budějovice
600007995,3301,Jihočeský,České Budějovice
600008002,3301,Jihočeský,České Budějovice
600022242,3301,Jihočeský,České Budějovice
600022277,3301,Jihočeský,České Budějovice
600022234,3301,Jihočeský,České Budějovice
