red_izo;lat;lng
600007545;50.426992;14.9186398
600007421;50.5218831;14.971007
651018048;;
610450956;50.2751472;15.2437525
600007669;50.2047918;14.8399196
600007651;50.1993147;14.830072
691002673;50.2014324;14.8328189
600007642;50.2075683;15.2996567
600007634;50.1908945;15.0420798
600170195;50.1917438;15.0397203
600007618;50.1846106;15.0392417
600019551;50.185206;15.0425922
600007570;50.1424783;15.1192114
600007553;50.1454893;15.1169817
600007561;50.1426032;15.1218101
600007685;50.147538;15.1202189
600007600;50.1515018;15.1145591
600007774;50.1844072;14.6701096
600007731;50.1827766;14.6660366
600170209;50.1792835;14.6553036
600007693;50.1613692;14.7494895
600007782;50.159541;14.7420767
600171761;50.162528;14.7507895
600021696;49.9903435;14.8601693
600007707;50.2199745;14.4081997
610451219;49.9921302;14.6749237
600007766;49.9917113;14.6621892
650068955;50.0066811;14.7160375
691003921;49.992842;14.658807
600022064;49.9300962;14.667029
691004498;49.9510588;14.2780007
691002339;50.0780447;14.2567883
600007804;50.0814092;14.2557845
651024617;49.9744313;14.5360933
600007791;49.8977079;14.4856028
600170217;50.1326276;14.2347064
600007871;49.561735;13.9467659
600007812;49.7794821;14.1740632
600007880;;
600027970;;
600007910;49.6886979;14.0186102
600007821;49.6876224;14.0192653
610451251;49.6891417;14.0174771
600007839;49.6899251;14.0098511
600019560;49.6900644;14.0128213
600170225;49.6850403;13.9984353
600007847;49.6824857;14.003108
600170233;49.690359;14.0116921
600007928;49.6958577;14.0517507
600007855;49.6568085;14.4277196
600007898;49.6584691;14.447299
600007901;49.6559433;14.4220044
600170268;50.098504;13.473019
600171469;50.0961463;13.4697416
600007979;50.0584721;13.8951336
600007961;50.1529157;13.901219
600007944;50.1600648;13.9012805
600007952;50.1043912;13.733224
600170250;50.0936326;13.7247454
600007987;50.1020904;13.7376494
600022188;50.0999453;13.7414957
600170241;50.1036131;13.7203353
600007936;50.1020904;13.7376494
600020231;48.9810276;14.4537722
600008088;48.9731264;14.4765179
600008100;48.9884487;14.4740585
600008096;48.9730841;14.504087
600008266;48.9863163;14.4652936
600008151;48.9747034;14.4719712
600007995;48.9821992;14.4772355
600008002;48.9788866;14.477791
600022242;48.9751003;14.4840501
600022277;48.9981553;14.4444047
600022234;48.9787917;14.4744557
600008045;48.9778281;14.4711808
600008169;48.979223;14.4973975
600008215;48.9753643;14.481633
600008207;48.9700775;14.4783555
600008118;48.9723475;14.4795775
600170314;48.9969834;14.4749949
600008185;48.9791488;14.469665
600170331;48.9742747;14.4791011
600170292;48.9776347;14.4687358
600170306;48.985284;14.478069
600019578;48.9778005;14.4707244
600008193;48.9810882;14.4731377
600170276;49.0370171;14.4200359
